ts,date,nav,cash,open_positions,realized_pnl
1785141662,2026-07-27,14744.6051,14692.0025,4,4745.3865
1785141843,2026-07-27,14764.3360,14649.7150,6,4765.7770
1785142023,2026-07-27,14781.6034,14645.0744,7,4783.0444
1785142203,2026-07-27,14810.2592,14635.2694,8,4811.8704
1785142383,2026-07-27,14853.3288,14671.7423,7,4854.6633
1785142563,2026-07-27,14862.4875,14611.8623,10,4863.3303
1785142743,2026-07-27,14868.0584,14636.5572,9,4868.7092
1785142923,2026-07-27,14875.4371,14590.2503,10,4874.6843
1785143102,2026-07-27,14881.4591,14648.8803,8,4879.8613
1785143282,2026-07-27,14881.7089,14626.5526,9,4880.4416
1785143463,2026-07-27,14910.4307,14665.1824,7,4908.7774
1785143823,2026-07-27,14955.0856,14806.1508,5,4955.5758
1785144182,2026-07-27,14989.7764,14851.9558,5,4991.1948
1785144363,2026-07-27,14996.6255,14857.4511,7,4998.4931
1785144723,2026-07-27,15020.8540,14874.0018,7,5022.6118
1785145083,2026-07-27,15013.2210,14872.0613,7,5014.1723
1785145443,2026-07-27,15010.3716,14818.7595,8,5010.4725
1785145802,2026-07-27,15003.5971,14953.5444,5,5004.6294
1785146163,2026-07-27,15009.0157,14906.0084,8,5007.7914
1785146523,2026-07-27,15002.4231,14803.4323,9,4999.0853
1785146883,2026-07-27,15001.9092,14839.2726,9,5002.2116
1785147243,2026-07-27,15003.8469,14907.2201,6,5004.5891
1785147603,2026-07-27,15017.5405,14929.6607,7,5018.2827
1785147963,2026-07-27,15012.0831,14788.7612,9,5013.0212
1785148143,2026-07-27,15004.8267,14803.5245,8,5004.7435
1785148323,2026-07-27,15002.3615,14868.1580,6,5004.8690
1785148503,2026-07-27,14997.8702,14858.8083,7,5000.5193
1785148683,2026-07-27,14995.6605,14837.0826,6,4996.7596
1785148863,2026-07-27,14982.0457,14874.0717,4,4981.8717
1785149043,2026-07-27,14981.8566,14840.3677,5,4979.9607
1785149222,2026-07-27,14981.6341,14912.2151,4,4979.2591
1785149403,2026-07-27,14980.8833,14898.9925,4,4982.0585
1785149583,2026-07-27,14980.9681,14818.0194,6,4981.5404
1785149763,2026-07-27,14977.8487,14794.6752,8,4979.1482
1785149943,2026-07-27,14973.2495,14795.9858,7,4973.9518
1785150123,2026-07-27,14963.2816,14732.9903,8,4963.6313
1785150303,2026-07-27,14957.7908,14711.0172,9,4958.8222
1785150483,2026-07-27,14950.5201,14670.8300,9,4951.9360
1785150663,2026-07-27,14947.1042,14657.4704,10,4949.1074
1785151023,2026-07-27,14938.4389,14635.8562,11,4940.5602
1785151384,2026-07-27,14942.9961,14732.1405,9,4945.0665
1785151563,2026-07-27,15666.3874,15425.0631,8,5668.5401
1785151743,2026-07-27,15648.8013,15355.5988,9,5649.0758
1785151923,2026-07-27,15632.5342,15418.6549,9,5633.7129
1785152102,2026-07-27,15627.6947,15472.8034,7,5629.7274
1785152282,2026-07-27,15619.2411,15478.8187,6,5620.7997
1785152463,2026-07-27,15658.9785,15424.6426,8,5661.4586
1785152823,2026-07-27,15697.7726,15428.0328,9,5698.2488
1785153184,2026-07-27,15720.9768,15488.8095,8,5721.6855
1785153543,2026-07-27,15768.5253,15499.5400,9,5769.7900
1785153903,2026-07-27,15833.0436,15568.3116,8,5832.3586
1785154263,2026-07-27,15849.8610,15553.7239,9,5849.3269
1785154443,2026-07-27,15856.5094,15646.1348,8,5853.7188
