[16:42:58] === 开始监控 TNOS / SOL (jLVprkYrvz...) ===
[16:42:59] 已知操盘方钱包(bundler/transfer_in/creator/dev_team标签): 40个
[16:42:59] 检测条件: 单笔买入>=$50 且钱包不在上面这个名单里 -> 判定疑似真买家
[16:42:59] 每10秒查一次最新成交,最长跑33分钟
[16:54:27] *** 疑似真买家信号#55 *** 钱包GodJTmdVEQ... 买入$79.51 (不在已知操盘方名单里,tx=3smiN8oyZxwj...)
[16:55:38] *** 疑似真买家信号#56 *** 钱包wE7x5UH5Wu... 买入$170.04 (不在已知操盘方名单里,tx=2Tfnd9HNyd1p...)
[16:55:38] *** 疑似真买家信号#57 *** 钱包GdyeoNMVjY... 买入$230.23 (不在已知操盘方名单里,tx=4PztJ6yNdUst...)
[16:55:38] *** 疑似真买家信号#58 *** 钱包HVYdC7u6Yd... 买入$68.69 (不在已知操盘方名单里,tx=24WSWU4QDUeW...)
[16:55:38] *** 疑似真买家信号#59 *** 钱包HHpQ9T2Vkw... 买入$99.53 (不在已知操盘方名单里,tx=2M7uPeqtHvw3...)
[16:55:38] *** 疑似真买家信号#60 *** 钱包HVYdC7u6Yd... 买入$51.40 (不在已知操盘方名单里,tx=2uvAhNenixCF...)
[16:55:38] *** 疑似真买家信号#61 *** 钱包HVYdC7u6Yd... 买入$77.05 (不在已知操盘方名单里,tx=sayEbv5as53D...)
[16:55:38] *** 疑似真买家信号#62 *** 钱包AVbPy8Gt6A... 买入$221.66 (不在已知操盘方名单里,tx=2r37LG1XbHxj...)
[16:55:38] *** 疑似真买家信号#63 *** 钱包2ayyFD3XTo... 买入$140.28 (不在已知操盘方名单里,tx=5oYQWwNBoMSm...)
[16:55:38] *** 疑似真买家信号#64 *** 钱包4vy5NcB4Ky... 买入$53.62 (不在已知操盘方名单里,tx=4YskEV55FBBe...)
[16:55:38] *** 疑似真买家信号#65 *** 钱包HBEyWycrUt... 买入$156.19 (不在已知操盘方名单里,tx=67auQSVuBXwP...)
[16:55:38] *** 疑似真买家信号#66 *** 钱包Gtk2NWh2TQ... 买入$170.43 (不在已知操盘方名单里,tx=zuoa7MtupJ11...)
[16:56:15] *** 疑似真买家信号#67 *** 钱包AtpbUxC2us... 买入$220.24 (不在已知操盘方名单里,tx=wjMs9yJPTspN...)
[16:56:15] *** 疑似真买家信号#68 *** 钱包HHpQ9T2Vkw... 买入$168.74 (不在已知操盘方名单里,tx=3Nf3kDb7cCzz...)
[16:56:15] *** 疑似真买家信号#69 *** 钱包2gATBVcSsK... 买入$149.63 (不在已知操盘方名单里,tx=5GuoPHQBdSXc...)
[16:56:50] *** 疑似真买家信号#70 *** 钱包9KHttXxvLt... 买入$105.75 (不在已知操盘方名单里,tx=26qpgNd3sYwX...)
[16:57:27] *** 疑似真买家信号#71 *** 钱包DkYa1xtNh4... 买入$165.46 (不在已知操盘方名单里,tx=5X1K8vGmrcfz...)
[16:57:27] *** 疑似真买家信号#72 *** 钱包9R1pCfnzaa... 买入$170.51 (不在已知操盘方名单里,tx=2s4ZpsDPhNWG...)
[16:58:39] *** 疑似真买家信号#73 *** 钱包2ayyFD3XTo... 买入$146.57 (不在已知操盘方名单里,tx=4EGWaXm8dWpK...)
[16:58:39] *** 疑似真买家信号#74 *** 钱包CCrbk9krqe... 买入$102.06 (不在已知操盘方名单里,tx=2hmgACZiRWpc...)
[16:58:39] *** 疑似真买家信号#75 *** 钱包52w8dgLygR... 买入$70.05 (不在已知操盘方名单里,tx=51x8BjbRqcu4...)
[16:58:39] *** 疑似真买家信号#76 *** 钱包GjAw6i2aVP... 买入$68.66 (不在已知操盘方名单里,tx=4VKv1neLQefJ...)
[16:58:39] *** 疑似真买家信号#77 *** 钱包7ScUR7e3JZ... 买入$330.99 (不在已知操盘方名单里,tx=4tsLZos1EKJE...)
[16:58:39] *** 疑似真买家信号#78 *** 钱包CVp9PdtTmB... 买入$84.91 (不在已知操盘方名单里,tx=47Yg1Bg5w7qZ...)
[16:59:14] *** 疑似真买家信号#79 *** 钱包3HehuMPy7T... 买入$104.74 (不在已知操盘方名单里,tx=2AK5y57ezjAa...)
[16:59:14] *** 疑似真买家信号#80 *** 钱包G4xvSGnBi8... 买入$94.31 (不在已知操盘方名单里,tx=4Nv8GzZnfPvr...)
[16:59:14] *** 疑似真买家信号#81 *** 钱包3zvs7aaHAq... 买入$238.85 (不在已知操盘方名单里,tx=2gtLSz1XTdLc...)
[17:00:25] *** 疑似真买家信号#82 *** 钱包BJRyzC1t6H... 买入$50.21 (不在已知操盘方名单里,tx=4r28oUqZgSxg...)
[17:00:25] *** 疑似真买家信号#83 *** 钱包K8HWs5jnwq... 买入$105.74 (不在已知操盘方名单里,tx=5GZZZuoDpYh5...)
[17:00:25] *** 疑似真买家信号#84 *** 钱包6a6HWDFNKk... 买入$172.65 (不在已知操盘方名单里,tx=3Kr2X4edqtAh...)
[17:00:25] *** 疑似真买家信号#85 *** 钱包3NJmmnnAbY... 买入$310.16 (不在已知操盘方名单里,tx=3cVNp2GuLXHn...)
[17:00:25] *** 疑似真买家信号#86 *** 钱包38g5XHF53n... 买入$151.71 (不在已知操盘方名单里,tx=vcJ9vcpY17RZ...)
[17:00:25] *** 疑似真买家信号#87 *** 钱包HC83U2D91Z... 买入$80.76 (不在已知操盘方名单里,tx=5Lzesyt5Awv3...)
[17:00:25] *** 疑似真买家信号#88 *** 钱包2wwAbxHGby... 买入$193.89 (不在已知操盘方名单里,tx=5ZJnRZJcFqX4...)
[17:01:39] *** 疑似真买家信号#89 *** 钱包WNwCy8p7di... 买入$61.77 (不在已知操盘方名单里,tx=2xGF9uNozg6u...)
[17:01:39] *** 疑似真买家信号#90 *** 钱包AqAhXhNX4G... 买入$173.85 (不在已知操盘方名单里,tx=3YeuMBG9u6bR...)
[17:01:39] *** 疑似真买家信号#91 *** 钱包DeADWa1x6G... 买入$144.01 (不在已知操盘方名单里,tx=4A3fjKFdG5gA...)
[17:01:39] *** 疑似真买家信号#92 *** 钱包8y4QPmLAbg... 买入$246.14 (不在已知操盘方名单里,tx=4d4nfp7LNLht...)
[17:01:39] *** 疑似真买家信号#93 *** 钱包HBEyWycrUt... 买入$230.30 (不在已知操盘方名单里,tx=2XxuF4BSX7jA...)
