[02:48:29] === 2AbGRmWy 高密度崩盘取证监控启动 ===
[02:48:30] 基线: 价格$0.00064757 流动性$56,921
[04:23:39] 价格$0.00082572  流动性$63,394(峰值$66,189)  已存档300笔逐笔
[04:24:43] 价格$0.00082822  流动性$63,428(峰值$66,189)  已存档300笔逐笔
[04:25:44] 价格$0.00083165  流动性$63,379(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.5%
[04:26:45] 价格$0.00083216  流动性$63,418(峰值$66,189)  已存档300笔逐笔
[04:27:46] 价格$0.00083422  流动性$63,377(峰值$66,189)  已存档300笔逐笔
[04:28:47] 价格$0.00084064  流动性$63,419(峰值$66,189)  已存档300笔逐笔
[04:29:48] 价格$0.00083686  流动性$63,419(峰值$66,189)  已存档300笔逐笔
[04:30:49] 价格$0.00083694  流动性$63,349(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.5%
[04:31:50] 价格$0.00083694  流动性$63,349(峰值$66,189)  已存档300笔逐笔
[04:32:51] 价格$0.00083968  流动性$63,317(峰值$66,189)  已存档300笔逐笔
[04:33:52] 价格$0.00083803  流动性$63,347(峰值$66,189)  已存档300笔逐笔
[04:34:53] 价格$0.00084280  流动性$63,289(峰值$66,189)  已存档300笔逐笔
[04:35:54] 价格$0.00084299  流动性$63,285(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.5%
[04:36:54] 价格$0.00085950  流动性$63,314(峰值$66,189)  已存档300笔逐笔
[04:37:55] 价格$0.00085098  流动性$65,719(峰值$66,189)  已存档300笔逐笔
[04:38:56] 价格$0.00085988  流动性$65,652(峰值$66,189)  已存档300笔逐笔
[04:39:57] 价格$0.00086848  流动性$65,774(峰值$66,189)  已存档300笔逐笔
[04:40:58] 价格$0.00086848  流动性$65,774(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.4%
[04:41:59] 价格$0.00086283  流动性$65,791(峰值$66,189)  已存档300笔逐笔
[04:43:00] 价格$0.00086425  流动性$65,705(峰值$66,189)  已存档300笔逐笔
[04:44:01] 价格$0.00085485  流动性$65,940(峰值$66,189)  已存档300笔逐笔
[04:45:02] 价格$0.00085471  流动性$65,544(峰值$66,189)  已存档300笔逐笔
[04:46:04] 价格$0.00085676  流动性$65,407(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.4%
[04:47:05] 价格$0.00085609  流动性$65,578(峰值$66,189)  已存档300笔逐笔
[04:48:05] 价格$0.00086033  流动性$65,568(峰值$66,189)  已存档300笔逐笔
[04:49:06] 价格$0.00086033  流动性$65,568(峰值$66,189)  已存档300笔逐笔
[04:50:07] 价格$0.00085811  流动性$65,632(峰值$66,189)  已存档300笔逐笔
[04:51:09] 价格$0.00085811  流动性$65,632(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.4%
[04:52:10] 价格$0.00086568  流动性$65,698(峰值$66,189)  已存档300笔逐笔
[04:53:11] 价格$0.00086283  流动性$65,492(峰值$66,189)  已存档300笔逐笔
[04:54:12] 价格$0.00086283  流动性$65,492(峰值$66,189)  已存档300笔逐笔
[04:55:13] 价格$0.00086043  流动性$65,586(峰值$66,189)  已存档300笔逐笔
[04:56:15] 价格$0.00085975  流动性$65,669(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.4%
[04:57:15] 价格$0.00085975  流动性$65,669(峰值$66,189)  已存档300笔逐笔
[04:58:16] 价格$0.00087012  流动性$66,147(峰值$66,189)  已存档300笔逐笔
[04:59:17] 价格$0.00087012  流动性$66,147(峰值$66,189)  已存档300笔逐笔
[05:00:18] 价格$0.00086340  流动性$65,785(峰值$66,189)  已存档300笔逐笔
[05:01:19] 价格$0.00086047  流动性$65,663(峰值$66,189)  已存档300笔逐笔  操盘方卖出比例=86.4%
[05:02:20] 价格$0.00085914  流动性$65,564(峰值$66,189)  已存档300笔逐笔
[05:03:21] 价格$0.00086112  流动性$65,534(峰值$66,189)  已存档300笔逐笔
[05:04:22] 价格$0.00086022  流动性$65,708(峰值$66,189)  已存档300笔逐笔
[05:05:23] 价格$0.00086472  流动性$65,705(峰值$66,189)  已存档300笔逐笔
