[17:00:32] === HUpWegd7 高密度崩盘取证监控启动 ===
[17:00:33] 基线: 价格$0.00202811 流动性$101,893
[19:24:09] 价格$0.00327868  流动性$129,473(峰值$129,473)  已存档59笔逐笔
[19:25:09] 价格$0.00332046  流动性$130,260(峰值$130,260)  已存档76笔逐笔
[19:26:10] 价格$0.00332046  流动性$130,260(峰值$130,260)  已存档66笔逐笔
[19:27:11] 价格$0.00335649  流动性$130,943(峰值$130,943)  已存档70笔逐笔
[19:28:12] 价格$0.00336846  流动性$131,274(峰值$131,274)  已存档71笔逐笔  操盘方卖出比例=1.1%
[19:29:13] 价格$0.00338207  流动性$131,659(峰值$131,659)  已存档61笔逐笔
[19:30:14] 价格$0.00339844  流动性$131,830(峰值$131,830)  已存档73笔逐笔
[19:31:15] 价格$0.00341914  流动性$132,152(峰值$132,152)  已存档69笔逐笔
[19:32:15] 价格$0.00341914  流动性$132,152(峰值$132,152)  已存档60笔逐笔
[19:33:16] 价格$0.00343535  流动性$132,496(峰值$132,496)  已存档72笔逐笔  操盘方卖出比例=1.1%
[19:34:17] 价格$0.00343535  流动性$132,496(峰值$132,496)  已存档65笔逐笔
[19:35:18] 价格$0.00347174  流动性$133,308(峰值$133,308)  已存档71笔逐笔
[19:36:19] 价格$0.00347174  流动性$133,308(峰值$133,308)  已存档72笔逐笔
[19:37:20] 价格$0.00351098  流动性$134,097(峰值$134,097)  已存档71笔逐笔
[19:38:21] 价格$0.00353383  流动性$134,554(峰值$134,554)  已存档66笔逐笔  操盘方卖出比例=1.1%
[19:39:22] 价格$0.00354689  流动性$134,914(峰值$134,914)  已存档68笔逐笔
[19:40:23] 价格$0.00356012  流动性$135,070(峰值$135,070)  已存档67笔逐笔
[19:41:24] 价格$0.00357697  流动性$135,383(峰值$135,383)  已存档64笔逐笔
[19:42:25] 价格$0.00358574  流动性$135,656(峰值$135,656)  已存档74笔逐笔
[19:43:26] 价格$0.00360707  流动性$136,000(峰值$136,000)  已存档57笔逐笔  操盘方卖出比例=1.1%
[19:44:28] 价格$0.00362617  流动性$136,238(峰值$136,238)  已存档65笔逐笔
[19:45:29] 价格$0.00363988  流动性$136,671(峰值$136,671)  已存档78笔逐笔
[19:46:30] 价格$0.00365438  流动性$136,819(峰值$136,819)  已存档27笔逐笔
[19:47:30] 价格$0.00367749  流动性$137,222(峰值$137,222)  已存档11笔逐笔
[19:48:31] 价格$0.00369546  流动性$137,580(峰值$137,580)  已存档9笔逐笔  操盘方卖出比例=1.1%
[19:49:32] 价格$0.00371166  流动性$137,926(峰值$137,926)  已存档8笔逐笔
[19:50:33] 价格$0.00372634  流动性$137,734(峰值$137,926)  已存档7笔逐笔
[19:51:34] 价格$0.00375550  流动性$138,814(峰值$138,814)  已存档11笔逐笔
[19:52:35] 价格$0.00377037  流动性$139,059(峰值$139,059)  已存档9笔逐笔
[19:53:35] 价格$0.00377802  流动性$139,263(峰值$139,263)  已存档10笔逐笔  操盘方卖出比例=1.1%
[19:54:36] 价格$0.00379058  流动性$139,508(峰值$139,508)  已存档7笔逐笔
[19:55:38] 价格$0.00380754  流动性$139,774(峰值$139,774)  已存档10笔逐笔
[19:56:39] 价格$0.00382389  流动性$140,136(峰值$140,136)  已存档9笔逐笔
[19:57:39] 价格$0.00383765  流动性$140,311(峰值$140,311)  已存档10笔逐笔
[19:58:41] 价格$0.00383997  流动性$139,983(峰值$140,311)  已存档9笔逐笔  操盘方卖出比例=1.1%
[19:59:41] 价格$0.00384726  流动性$140,574(峰值$140,574)  已存档5笔逐笔
[20:00:42] 价格$0.00386206  流动性$140,719(峰值$140,719)  已存档8笔逐笔
[20:01:43] 价格$0.00386884  流动性$140,422(峰值$140,719)  已存档7笔逐笔
[20:02:44] 价格$0.00388587  流动性$141,274(峰值$141,274)  已存档8笔逐笔
[20:03:45] 价格$0.00390059  流动性$141,649(峰值$141,649)  已存档7笔逐笔  操盘方卖出比例=1.1%
[20:04:46] 价格$0.00390960  流动性$141,831(峰值$141,831)  已存档6笔逐笔
[20:05:46] 价格$0.00392128  流动性$141,402(峰值$141,831)  已存档9笔逐笔
[20:06:47] 价格$0.00392444  流动性$142,046(峰值$142,046)  已存档7笔逐笔
[20:07:48] 价格$0.00394182  流动性$142,315(峰值$142,315)  已存档10笔逐笔
[20:08:49] 价格$0.00394182  流动性$142,315(峰值$142,315)  已存档9笔逐笔  操盘方卖出比例=1.1%
[20:09:50] 价格$0.00395828  流动性$142,612(峰值$142,612)  已存档9笔逐笔
[20:10:51] 价格$0.00396770  流动性$142,815(峰值$142,815)  已存档11笔逐笔
[20:11:52] 价格$0.00396770  流动性$142,815(峰值$142,815)  已存档8笔逐笔
[20:12:53] 价格$0.00398204  流动性$143,182(峰值$143,182)  已存档10笔逐笔
[20:13:54] 价格$0.00398654  流动性$143,234(峰值$143,234)  已存档6笔逐笔  操盘方卖出比例=1.1%
[20:14:54] 价格$0.00399513  流动性$143,422(峰值$143,422)  已存档7笔逐笔
[20:15:56] 价格$0.00396977  流动性$143,410(峰值$143,422)  已存档8笔逐笔
[20:16:56] 价格$0.00400506  流动性$142,965(峰值$143,422)  已存档7笔逐笔
[20:17:58] 价格$0.00400620  流动性$143,038(峰值$143,422)  已存档7笔逐笔
[20:18:59] 价格$0.00400620  流动性$143,038(峰值$143,422)  已存档8笔逐笔  操盘方卖出比例=1.1%
[20:19:59] 价格$0.00401644  流动性$143,602(峰值$143,602)  已存档8笔逐笔
[20:21:00] 价格$0.00403544  流动性$143,899(峰值$143,899)  已存档9笔逐笔
[20:22:02] 价格$0.00403544  流动性$143,899(峰值$143,899)  已存档10笔逐笔
[20:23:03] 价格$0.00405887  流动性$144,329(峰值$144,329)  已存档9笔逐笔
[20:24:03] 价格$0.00406544  流动性$144,044(峰值$144,329)  已存档7笔逐笔  操盘方卖出比例=1.1%
[20:25:04] 价格$0.00407469  流动性$144,783(峰值$144,783)  已存档7笔逐笔
[20:26:06] 价格$0.00408645  流动性$144,966(峰值$144,966)  已存档12笔逐笔
[20:27:06] 价格$0.00410386  流动性$145,209(峰值$145,209)  已存档11笔逐笔
[20:28:07] 价格$0.00410386  流动性$145,209(峰值$145,209)  已存档7笔逐笔
[20:29:08] 价格$0.00413393  流动性$145,713(峰值$145,713)  已存档10笔逐笔  操盘方卖出比例=1.1%
[20:30:09] 价格$0.00413418  流动性$145,297(峰值$145,713)  已存档6笔逐笔
[20:31:10] 价格$0.00413418  流动性$145,297(峰值$145,713)  已存档9笔逐笔
[20:32:11] 价格$0.00411479  流动性$145,953(峰值$145,953)  已存档10笔逐笔
[20:33:11] 价格$0.00414332  流动性$145,541(峰值$145,953)  已存档9笔逐笔
[20:34:12] 价格$0.00415269  流动性$145,917(峰值$145,953)  已存档8笔逐笔  操盘方卖出比例=1.2%
[20:35:13] 价格$0.00417197  流动性$146,466(峰值$146,466)  已存档7笔逐笔
[20:36:14] 价格$0.00417197  流动性$146,466(峰值$146,466)  已存档7笔逐笔
[20:37:14] 价格$0.00420131  流动性$147,053(峰值$147,053)  已存档9笔逐笔
