[17:15:30] === 9vQ5HCzh 高密度崩盘取证监控启动 ===
[17:15:30] 基线: 价格$0.00006497 流动性$1,540
[19:24:01] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔
[19:25:01] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔
[19:26:02] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔
[19:27:02] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[19:28:02] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[19:29:02] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[19:30:03] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[19:31:03] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[19:32:04] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[19:33:04] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[19:34:05] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[19:35:05] 价格$0.00006513  流动性$1,550(峰值$1,553)  已存档0笔逐笔
[19:36:05] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔
[19:37:06] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[19:38:06] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔
[19:39:06] 价格$0.00006513  流动性$1,549(峰值$1,553)  已存档0笔逐笔
[19:40:06] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:41:07] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:42:07] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[19:43:07] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:44:08] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:45:08] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:46:08] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:47:08] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[19:48:09] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:49:09] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:50:09] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:51:10] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:52:10] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔  操盘方卖出比例=0.0%
[19:53:10] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:54:10] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:55:11] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:56:11] 价格$0.00006513  流动性$1,551(峰值$1,553)  已存档0笔逐笔
[19:57:11] 价格$0.00007363  流动性$0(峰值$1,553)  已存档9笔逐笔  操盘方卖出比例=0.0%
[19:57:11] *** 流动性暴跌,疑似崩盘发生! 立刻加密取证 ***
[19:57:12] 崩盘时刻快照: 价格$0.00007363 流动性$0 操盘方卖出比例=0.0
[19:57:12] === 监控结束(崩盘=是) ===
