[15:48:29] === EnxNwE5V 高密度崩盘取证监控启动 ===
[15:48:30] 基线: 价格$0.00050999 流动性$49,721
[18:00:19] 价格$0.00055825  流动性$52,961(峰值$52,961)  已存档3笔逐笔  操盘方卖出比例=0.2%
[18:01:20] 价格$0.00055825  流动性$52,961(峰值$52,961)  已存档3笔逐笔
[18:02:20] 价格$0.00056628  流动性$53,002(峰值$53,002)  已存档2笔逐笔
[18:03:21] 价格$0.00056642  流动性$53,019(峰值$53,019)  已存档2笔逐笔
[18:04:22] 价格$0.00056695  流动性$53,103(峰值$53,103)  已存档3笔逐笔
[18:05:25] 价格$0.00056058  流动性$53,049(峰值$53,103)  已存档2笔逐笔  操盘方卖出比例=0.2%
[18:06:25] 价格$0.00056825  流动性$53,092(峰值$53,103)  已存档2笔逐笔
[18:07:26] 价格$0.00056836  流动性$53,171(峰值$53,171)  已存档2笔逐笔
[18:08:26] 价格$0.00056836  流动性$53,171(峰值$53,171)  已存档3笔逐笔
[18:09:27] 价格$0.00056977  流动性$53,212(峰值$53,212)  已存档3笔逐笔
[18:10:28] 价格$0.00057046  流动性$53,248(峰值$53,248)  已存档1笔逐笔  操盘方卖出比例=0.2%
[18:11:28] 价格$0.00056925  流动性$52,876(峰值$53,248)  已存档2笔逐笔
[18:12:29] 价格$0.00056935  流动性$53,163(峰值$53,248)  已存档3笔逐笔
[18:13:30] 价格$0.00056351  流动性$53,163(峰值$53,248)  已存档2笔逐笔
[18:14:30] 价格$0.00056351  流动性$53,163(峰值$53,248)  已存档1笔逐笔
[18:15:31] 价格$0.00057000  流动性$52,873(峰值$53,248)  已存档3笔逐笔  操盘方卖出比例=0.2%
[18:16:31] 价格$0.00056350  流动性$53,221(峰值$53,248)  已存档2笔逐笔
[18:17:32] 价格$0.00056350  流动性$53,221(峰值$53,248)  已存档2笔逐笔
[18:18:33] 价格$0.00057046  流动性$52,920(峰值$53,248)  已存档2笔逐笔
[18:19:34] 价格$0.00057082  流动性$53,239(峰值$53,248)  已存档4笔逐笔
[18:20:35] 价格$0.00057035  流动性$53,229(峰值$53,248)  已存档2笔逐笔  操盘方卖出比例=0.2%
[18:21:35] 价格$0.00056451  流动性$53,218(峰值$53,248)  已存档2笔逐笔
[18:22:36] 价格$0.00056451  流动性$53,218(峰值$53,248)  已存档3笔逐笔
[18:23:37] 价格$0.00057341  流动性$53,019(峰值$53,248)  已存档2笔逐笔
[18:24:38] 价格$0.00057330  流动性$53,370(峰值$53,370)  已存档2笔逐笔
[18:25:39] 价格$0.00057377  流动性$53,342(峰值$53,370)  已存档1笔逐笔  操盘方卖出比例=0.2%
[18:26:40] 价格$0.00057377  流动性$53,342(峰值$53,370)  已存档3笔逐笔
[18:27:41] 价格$0.00056780  流动性$53,444(峰值$53,444)  已存档1笔逐笔
[18:28:42] 价格$0.00056780  流动性$53,444(峰值$53,444)  已存档1笔逐笔
[18:29:42] 价格$0.00057448  流动性$53,085(峰值$53,444)  已存档3笔逐笔
[18:30:43] 价格$0.00057448  流动性$53,085(峰值$53,444)  已存档2笔逐笔  操盘方卖出比例=0.2%
[18:31:44] 价格$0.00057474  流动性$53,096(峰值$53,444)  已存档1笔逐笔
[18:32:45] 价格$0.00057536  流动性$53,492(峰值$53,492)  已存档3笔逐笔
[18:33:46] 价格$0.00057570  流动性$53,143(峰值$53,492)  已存档1笔逐笔
[18:34:47] 价格$0.00057508  流动性$53,117(峰值$53,492)  已存档2笔逐笔
[18:35:47] 价格$0.00057555  流动性$53,115(峰值$53,492)  已存档1笔逐笔  操盘方卖出比例=0.2%
[18:36:48] 价格$0.00057609  流动性$53,444(峰值$53,492)  已存档3笔逐笔
[18:37:49] 价格$0.00057576  流动性$53,174(峰值$53,492)  已存档2笔逐笔
[18:38:50] 价格$0.00057589  流动性$53,495(峰值$53,495)  已存档3笔逐笔
[18:39:51] 价格$0.00056965  流动性$53,493(峰值$53,495)  已存档2笔逐笔
[18:40:52] 价格$0.00057642  流动性$53,453(峰值$53,495)  已存档2笔逐笔  操盘方卖出比例=0.2%
[18:41:53] 价格$0.00057642  流动性$53,453(峰值$53,495)  已存档2笔逐笔
[18:42:54] 价格$0.00057665  流动性$53,495(峰值$53,495)  已存档3笔逐笔
[18:43:55] 价格$0.00056748  流动性$53,484(峰值$53,495)  已存档3笔逐笔
[18:44:55] 价格$0.00057406  流动性$53,099(峰值$53,495)  已存档1笔逐笔
[18:45:56] 价格$0.00057382  流动性$53,397(峰值$53,495)  已存档3笔逐笔  操盘方卖出比例=0.2%
[18:46:57] 价格$0.00057382  流动性$53,397(峰值$53,495)  已存档1笔逐笔
[18:47:58] 价格$0.00057431  流动性$53,036(峰值$53,495)  已存档3笔逐笔
[18:48:59] 价格$0.00057313  流动性$53,370(峰值$53,495)  已存档2笔逐笔
[18:49:59] 价格$0.00056636  流动性$52,984(峰值$53,495)  已存档2笔逐笔
[18:51:01] 价格$0.00056636  流动性$52,984(峰值$53,495)  已存档3笔逐笔  操盘方卖出比例=0.2%
[18:52:02] 价格$0.00057449  流动性$53,005(峰值$53,495)  已存档1笔逐笔
[18:53:03] 价格$0.00056820  流动性$53,403(峰值$53,495)  已存档2笔逐笔
[18:54:03] 价格$0.00057499  流动性$53,040(峰值$53,495)  已存档1笔逐笔
[18:55:04] 价格$0.00057385  流动性$53,335(峰值$53,495)  已存档3笔逐笔
[18:56:05] 价格$0.00056754  流动性$53,354(峰值$53,495)  已存档2笔逐笔  操盘方卖出比例=0.3%
[18:57:06] 价格$0.00057482  流动性$52,980(峰值$53,495)  已存档2笔逐笔
[18:58:07] 价格$0.00057490  流动性$53,370(峰值$53,495)  已存档2笔逐笔
[18:59:08] 价格$0.00057506  流动性$53,327(峰值$53,495)  已存档1笔逐笔
[19:00:08] 价格$0.00057506  流动性$53,327(峰值$53,495)  已存档4笔逐笔
[19:01:09] 价格$0.00057745  流动性$53,153(峰值$53,495)  已存档2笔逐笔  操盘方卖出比例=0.3%
[19:02:11] 价格$0.00057745  流动性$53,153(峰值$53,495)  已存档2笔逐笔
[19:03:11] 价格$0.00057824  流动性$53,174(峰值$53,495)  已存档2笔逐笔
[19:04:13] 价格$0.00057842  流动性$53,235(峰值$53,495)  已存档2笔逐笔
[19:05:13] 价格$0.00057897  流动性$53,255(峰值$53,495)  已存档4笔逐笔
[19:06:14] 价格$0.00057220  流动性$53,255(峰值$53,495)  已存档1笔逐笔  操盘方卖出比例=0.3%
[19:07:15] 价格$0.00057955  流动性$53,607(峰值$53,607)  已存档2笔逐笔
[19:08:16] 价格$0.00057896  流动性$53,280(峰值$53,607)  已存档2笔逐笔
[19:09:17] 价格$0.00057896  流动性$53,280(峰值$53,607)  已存档2笔逐笔
[19:10:18] 价格$0.00057998  流动性$53,636(峰值$53,636)  已存档2笔逐笔
[19:11:20] 价格$0.00058066  流动性$53,353(峰值$53,636)  已存档3笔逐笔  操盘方卖出比例=0.3%
[19:12:21] 价格$0.00057944  流动性$53,668(峰值$53,668)  已存档2笔逐笔
[19:13:22] 价格$0.00057944  流动性$53,668(峰值$53,668)  已存档3笔逐笔
[19:14:23] 价格$0.00058088  流动性$53,649(峰值$53,668)  已存档1笔逐笔
[19:15:23] 价格$0.00058052  流动性$53,343(峰值$53,668)  已存档2笔逐笔
[19:16:24] 价格$0.00057330  流动性$53,683(峰值$53,683)  已存档2笔逐笔  操盘方卖出比例=0.3%
[19:17:25] 价格$0.00057977  流动性$53,336(峰值$53,683)  已存档1笔逐笔
[19:18:26] 价格$0.00058064  流动性$53,725(峰值$53,725)  已存档3笔逐笔
[19:19:27] 价格$0.00058038  流动性$53,378(峰值$53,725)  已存档3笔逐笔
[19:20:28] 价格$0.00057372  流动性$53,680(峰值$53,725)  已存档2笔逐笔
[19:21:29] 价格$0.00057372  流动性$53,680(峰值$53,725)  已存档1笔逐笔  操盘方卖出比例=0.3%
[19:22:29] 价格$0.00057347  流动性$53,660(峰值$53,725)  已存档2笔逐笔
[19:23:30] 价格$0.00058074  流动性$53,653(峰值$53,725)  已存档2笔逐笔
[19:24:31] 价格$0.00058059  流动性$53,390(峰值$53,725)  已存档2笔逐笔
[19:25:32] 价格$0.00058147  流动性$53,717(峰值$53,725)  已存档1笔逐笔
[19:26:33] 价格$0.00058105  流动性$53,722(峰值$53,725)  已存档2笔逐笔  操盘方卖出比例=0.3%
[19:27:34] 价格$0.00057482  流动性$53,778(峰值$53,778)  已存档2笔逐笔
[19:28:35] 价格$0.00057518  流动性$53,759(峰值$53,778)  已存档3笔逐笔
