[05:39:33] === AdtwHUWE 高密度崩盘取证监控启动 ===
[05:39:33] 基线: 价格$0.00873148 流动性$210,765
[07:27:14] 价格$0.01071201  流动性$233,935(峰值$234,131)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:28:15] 价格$0.01073482  流动性$234,116(峰值$234,131)  已存档300笔逐笔
[07:29:16] 价格$0.01073482  流动性$234,116(峰值$234,131)  已存档300笔逐笔
[07:30:17] 价格$0.01078707  流动性$234,784(峰值$234,784)  已存档300笔逐笔
[07:31:18] 价格$0.01078707  流动性$234,784(峰值$234,784)  已存档300笔逐笔
[07:32:19] 价格$0.01080717  流动性$235,046(峰值$235,046)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:33:20] 价格$0.01083840  流动性$235,281(峰值$235,281)  已存档300笔逐笔
[07:34:21] 价格$0.01083840  流动性$235,281(峰值$235,281)  已存档300笔逐笔
[07:35:22] 价格$0.01083805  流动性$235,286(峰值$235,286)  已存档300笔逐笔
[07:36:23] 价格$0.01083805  流动性$235,286(峰值$235,286)  已存档300笔逐笔
[07:37:25] 价格$0.01086171  流动性$235,452(峰值$235,452)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:38:26] 价格$0.01086359  流动性$234,797(峰值$235,452)  已存档300笔逐笔
[07:39:27] 价格$0.01087529  流动性$235,689(峰值$235,689)  已存档300笔逐笔
[07:40:28] 价格$0.01082913  流动性$235,674(峰值$235,689)  已存档300笔逐笔
[07:41:29] 价格$0.01083046  流动性$235,775(峰值$235,775)  已存档300笔逐笔
[07:42:30] 价格$0.01083046  流动性$235,775(峰值$235,775)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:43:31] 价格$0.01089326  流动性$235,247(峰值$235,775)  已存档300笔逐笔
[07:44:32] 价格$0.01089326  流动性$235,247(峰值$235,775)  已存档300笔逐笔
[07:45:33] 价格$0.01086650  流动性$236,045(峰值$236,045)  已存档300笔逐笔
[07:46:34] 价格$0.01086650  流动性$236,045(峰值$236,045)  已存档300笔逐笔
[07:47:36] 价格$0.01096730  流动性$236,047(峰值$236,047)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:48:37] 价格$0.01096730  流动性$236,047(峰值$236,047)  已存档300笔逐笔
[07:49:38] 价格$0.01092427  流动性$236,764(峰值$236,764)  已存档300笔逐笔
[07:50:39] 价格$0.01092427  流动性$236,764(峰值$236,764)  已存档300笔逐笔
[07:51:40] 价格$0.01095518  流动性$236,633(峰值$236,764)  已存档300笔逐笔
[07:52:42] 价格$0.01095815  流动性$237,293(峰值$237,293)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:53:43] 价格$0.01098120  流动性$237,720(峰值$237,720)  已存档300笔逐笔
[07:54:44] 价格$0.01103974  流动性$237,061(峰值$237,720)  已存档300笔逐笔
[07:55:45] 价格$0.01099436  流动性$237,878(峰值$237,878)  已存档300笔逐笔
[07:56:46] 价格$0.01102977  流动性$236,749(峰值$237,878)  已存档300笔逐笔
[07:57:48] 价格$0.01099280  流动性$237,588(峰值$237,878)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:58:49] 价格$0.01099280  流动性$237,588(峰值$237,878)  已存档300笔逐笔
[07:59:51] 价格$0.01106032  流动性$237,704(峰值$237,878)  已存档300笔逐笔
[08:00:52] 价格$0.01102322  流动性$237,764(峰值$237,878)  已存档300笔逐笔
[08:01:53] 价格$0.01108815  流动性$237,966(峰值$237,966)  已存档300笔逐笔
[08:02:54] 价格$0.01104841  流动性$237,626(峰值$237,966)  已存档300笔逐笔  操盘方卖出比例=0.0%
[08:03:55] 价格$0.01106305  流动性$238,561(峰值$238,561)  已存档300笔逐笔
[08:04:56] 价格$0.01107385  流动性$238,616(峰值$238,616)  已存档300笔逐笔
[09:10:14] 价格$0.01164163  流动性$243,067(峰值$243,612)  已存档300笔逐笔
[09:11:16] 价格$0.01164997  流动性$243,742(峰值$243,742)  已存档300笔逐笔
[09:12:17] 价格$0.01165809  流动性$243,169(峰值$243,742)  已存档300笔逐笔
[09:13:18] 价格$0.01165809  流动性$243,169(峰值$243,742)  已存档300笔逐笔
[09:14:19] 价格$0.01167894  流动性$243,411(峰值$243,742)  已存档300笔逐笔  操盘方卖出比例=0.0%
[09:15:21] 价格$0.01167404  流动性$244,134(峰值$244,134)  已存档300笔逐笔
