[01:56:01] === AZyerget 高密度崩盘取证监控启动 ===
[01:56:01] 基线: 价格$0.01011135 流动性$228,417
[03:22:49] 价格$0.00890065  流动性$214,843(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[03:23:50] 价格$0.00893565  流动性$215,601(峰值$252,499)  已存档300笔逐笔
[03:25:01] 价格$0.00900059  流动性$215,971(峰值$252,499)  已存档300笔逐笔
[03:26:02] 价格$0.00904567  流动性$216,128(峰值$252,499)  已存档300笔逐笔
[03:27:03] 价格$0.00909712  流动性$217,218(峰值$252,499)  已存档300笔逐笔
[03:28:05] 价格$0.00909712  流动性$217,218(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[03:29:06] 价格$0.00916108  流动性$217,523(峰值$252,499)  已存档300笔逐笔
[03:30:07] 价格$0.00917378  流动性$218,103(峰值$252,499)  已存档300笔逐笔
[03:31:08] 价格$0.00922684  流动性$218,607(峰值$252,499)  已存档300笔逐笔
[03:32:09] 价格$0.00922845  流动性$218,706(峰值$252,499)  已存档300笔逐笔
[03:33:10] 价格$0.00922652  流动性$219,197(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[03:34:11] 价格$0.00929923  流动性$219,590(峰值$252,499)  已存档300笔逐笔
[03:35:12] 价格$0.00929923  流动性$219,590(峰值$252,499)  已存档300笔逐笔
[03:36:13] 价格$0.00937924  流动性$219,800(峰值$252,499)  已存档300笔逐笔
[03:37:13] 价格$0.00939337  流动性$220,687(峰值$252,499)  已存档300笔逐笔
[03:38:14] 价格$0.00939337  流动性$220,687(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[03:39:16] 价格$0.00944614  流动性$221,064(峰值$252,499)  已存档300笔逐笔
[03:40:17] 价格$0.00944699  流动性$221,226(峰值$252,499)  已存档300笔逐笔
[03:41:18] 价格$0.00946046  流动性$221,292(峰值$252,499)  已存档300笔逐笔
[03:42:19] 价格$0.00949373  流动性$222,292(峰值$252,499)  已存档300笔逐笔
[03:43:20] 价格$0.00949373  流动性$222,292(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[03:44:21] 价格$0.00957812  流动性$222,927(峰值$252,499)  已存档300笔逐笔
[03:45:22] 价格$0.00961586  流动性$223,398(峰值$252,499)  已存档300笔逐笔
[03:46:23] 价格$0.00961586  流动性$223,398(峰值$252,499)  已存档300笔逐笔
[03:47:24] 价格$0.00968646  流动性$224,181(峰值$252,499)  已存档300笔逐笔
[03:48:25] 价格$0.00969103  流动性$224,308(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[03:49:26] 价格$0.00969103  流动性$224,308(峰值$252,499)  已存档300笔逐笔
[03:50:27] 价格$0.00974379  流动性$224,827(峰值$252,499)  已存档300笔逐笔
[03:51:28] 价格$0.00976967  流动性$224,942(峰值$252,499)  已存档300笔逐笔
[03:52:29] 价格$0.00974678  流动性$224,638(峰值$252,499)  已存档300笔逐笔
[03:53:31] 价格$0.00979991  流动性$225,171(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[03:54:31] 价格$0.00979991  流动性$225,171(峰值$252,499)  已存档300笔逐笔
[03:55:32] 价格$0.00985502  流动性$225,815(峰值$252,499)  已存档300笔逐笔
[03:56:33] 价格$0.00984616  流动性$226,314(峰值$252,499)  已存档300笔逐笔
[03:57:34] 价格$0.00989800  流动性$226,434(峰值$252,499)  已存档300笔逐笔
[03:58:35] 价格$0.00991070  流动性$226,998(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[03:59:36] 价格$0.00991070  流动性$226,998(峰值$252,499)  已存档300笔逐笔
[04:00:37] 价格$0.01002797  流动性$227,598(峰值$252,499)  已存档300笔逐笔
[04:01:38] 价格$0.01008698  流动性$228,548(峰值$252,499)  已存档300笔逐笔
[04:02:40] 价格$0.01009045  流动性$228,385(峰值$252,499)  已存档300笔逐笔
[04:03:41] 价格$0.01013131  流动性$229,204(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[04:04:42] 价格$0.01015581  流动性$229,080(峰值$252,499)  已存档300笔逐笔
[04:05:43] 价格$0.01016200  流动性$229,129(峰值$252,499)  已存档300笔逐笔
[04:06:44] 价格$0.01016200  流动性$229,129(峰值$252,499)  已存档300笔逐笔
[04:07:44] 价格$0.01026798  流动性$230,416(峰值$252,499)  已存档300笔逐笔
[04:08:46] 价格$0.01029678  流动性$231,371(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[04:09:47] 价格$0.01031891  流动性$231,315(峰值$252,499)  已存档300笔逐笔
[04:10:48] 价格$0.01037431  流动性$232,137(峰值$252,499)  已存档300笔逐笔
[04:11:49] 价格$0.01038914  流动性$232,318(峰值$252,499)  已存档300笔逐笔
[04:12:50] 价格$0.01038914  流动性$232,318(峰值$252,499)  已存档300笔逐笔
[04:13:51] 价格$0.01043971  流动性$232,870(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[04:14:54] 价格$0.01046660  流动性$233,120(峰值$252,499)  已存档300笔逐笔
[04:15:54] 价格$0.01046660  流动性$233,120(峰值$252,499)  已存档300笔逐笔
[04:16:56] 价格$0.01053433  流动性$234,004(峰值$252,499)  已存档300笔逐笔
[04:17:57] 价格$0.01053803  流动性$233,905(峰值$252,499)  已存档300笔逐笔
[04:18:58] 价格$0.01053803  流动性$233,905(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[04:19:59] 价格$0.01059980  流动性$235,095(峰值$252,499)  已存档300笔逐笔
[04:21:00] 价格$0.01071125  流动性$235,862(峰值$252,499)  已存档300笔逐笔
[04:22:01] 价格$0.01074552  流动性$235,439(峰值$252,499)  已存档300笔逐笔
[04:23:02] 价格$0.01073574  流动性$236,235(峰值$252,499)  已存档300笔逐笔
[04:24:03] 价格$0.01079755  流动性$236,743(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[04:25:05] 价格$0.01089504  流动性$237,386(峰值$252,499)  已存档300笔逐笔
[04:26:06] 价格$0.01089504  流动性$237,386(峰值$252,499)  已存档300笔逐笔
[04:27:07] 价格$0.01100481  流动性$238,558(峰值$252,499)  已存档300笔逐笔
[04:28:08] 价格$0.01096941  流动性$238,604(峰值$252,499)  已存档300笔逐笔
[04:29:09] 价格$0.01095264  流动性$239,299(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[04:30:10] 价格$0.01095264  流动性$239,299(峰值$252,499)  已存档300笔逐笔
[04:31:11] 价格$0.01106221  流动性$239,772(峰值$252,499)  已存档300笔逐笔
[04:32:12] 价格$0.01106221  流动性$239,772(峰值$252,499)  已存档300笔逐笔
[04:33:13] 价格$0.01113467  流动性$240,624(峰值$252,499)  已存档300笔逐笔
[04:34:14] 价格$0.01113467  流动性$240,624(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[04:35:15] 价格$0.01121557  流动性$241,613(峰值$252,499)  已存档300笔逐笔
[04:36:16] 价格$0.01126877  流动性$241,678(峰值$252,499)  已存档300笔逐笔
[04:37:17] 价格$0.01129291  流动性$242,148(峰值$252,499)  已存档300笔逐笔
[04:38:18] 价格$0.01132824  流动性$241,904(峰值$252,499)  已存档300笔逐笔
[04:39:19] 价格$0.01132824  流动性$241,904(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[04:40:20] 价格$0.01138696  流动性$243,219(峰值$252,499)  已存档300笔逐笔
[04:41:21] 价格$0.01138696  流动性$243,219(峰值$252,499)  已存档300笔逐笔
[04:42:22] 价格$0.01145393  流动性$243,792(峰值$252,499)  已存档300笔逐笔
[04:43:23] 价格$0.01148441  流动性$244,014(峰值$252,499)  已存档300笔逐笔
[04:44:24] 价格$0.01144817  流动性$244,443(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[04:45:25] 价格$0.01154351  流动性$244,730(峰值$252,499)  已存档300笔逐笔
[04:46:26] 价格$0.01155329  流动性$244,751(峰值$252,499)  已存档300笔逐笔
[04:47:28] 价格$0.01158311  流动性$245,367(峰值$252,499)  已存档300笔逐笔
[04:48:28] 价格$0.01164753  流动性$245,452(峰值$252,499)  已存档300笔逐笔
[04:49:30] 价格$0.01165936  流动性$246,169(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[04:50:30] 价格$0.01165936  流动性$246,169(峰值$252,499)  已存档300笔逐笔
[04:51:31] 价格$0.01178893  流动性$247,340(峰值$252,499)  已存档300笔逐笔
[04:52:32] 价格$0.01180436  流动性$247,474(峰值$252,499)  已存档300笔逐笔
[04:53:33] 价格$0.01180436  流动性$247,474(峰值$252,499)  已存档300笔逐笔
[04:54:34] 价格$0.01185458  流动性$248,060(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[04:55:35] 价格$0.01185458  流动性$248,060(峰值$252,499)  已存档300笔逐笔
[04:56:36] 价格$0.01192011  流动性$246,902(峰值$252,499)  已存档300笔逐笔
[04:57:37] 价格$0.01192011  流动性$246,902(峰值$252,499)  已存档300笔逐笔
[04:58:38] 价格$0.01201245  流动性$249,610(峰值$252,499)  已存档300笔逐笔
[04:59:39] 价格$0.01201245  流动性$249,610(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[05:00:40] 价格$0.01211245  流动性$250,904(峰值$252,499)  已存档300笔逐笔
[05:01:41] 价格$0.01217569  流动性$251,068(峰值$252,499)  已存档300笔逐笔
