[01:52:49] === H5z35oPW 高密度崩盘取证监控启动 ===
[01:52:50] 基线: 价格$0.00704917 流动性$190,454
[04:40:34] 价格$0.00828019  流动性$206,571(峰值$206,571)  已存档300笔逐笔
[04:41:35] 价格$0.00829473  流动性$206,544(峰值$206,571)  已存档300笔逐笔  操盘方卖出比例=1.1%
[04:42:36] 价格$0.00829473  流动性$206,544(峰值$206,571)  已存档300笔逐笔
[04:43:37] 价格$0.00827570  流动性$206,977(峰值$206,977)  已存档300笔逐笔
[04:44:38] 价格$0.00829063  流动性$206,447(峰值$206,977)  已存档300笔逐笔
[04:45:38] 价格$0.00835307  流动性$207,330(峰值$207,330)  已存档300笔逐笔
[04:46:40] 价格$0.00832745  流动性$207,481(峰值$207,481)  已存档300笔逐笔  操盘方卖出比例=1.1%
[04:47:41] 价格$0.00832745  流动性$207,481(峰值$207,481)  已存档300笔逐笔
[04:48:41] 价格$0.00839926  流动性$207,341(峰值$207,481)  已存档300笔逐笔
[04:49:43] 价格$0.00837640  流动性$208,136(峰值$208,136)  已存档300笔逐笔
[04:50:44] 价格$0.00844286  流动性$208,565(峰值$208,565)  已存档300笔逐笔
[04:51:45] 价格$0.00845503  流动性$208,254(峰值$208,565)  已存档300笔逐笔  操盘方卖出比例=1.1%
[04:52:46] 价格$0.00845503  流动性$208,254(峰值$208,565)  已存档300笔逐笔
[04:53:47] 价格$0.00844260  流动性$208,873(峰值$208,873)  已存档300笔逐笔
[04:54:48] 价格$0.00844260  流动性$208,873(峰值$208,873)  已存档300笔逐笔
[04:55:49] 价格$0.00839836  流动性$207,805(峰值$208,873)  已存档300笔逐笔
[04:56:50] 价格$0.00847575  流动性$208,738(峰值$208,873)  已存档300笔逐笔  操盘方卖出比例=1.1%
[04:57:51] 价格$0.00848549  流动性$208,996(峰值$208,996)  已存档300笔逐笔
[04:58:52] 价格$0.00848893  流动性$209,516(峰值$209,516)  已存档300笔逐笔
[04:59:53] 价格$0.00848893  流动性$209,516(峰值$209,516)  已存档300笔逐笔
[05:00:54] 价格$0.00855002  流动性$209,270(峰值$209,516)  已存档300笔逐笔
[05:01:55] 价格$0.00852066  流动性$210,066(峰值$210,066)  已存档300笔逐笔  操盘方卖出比例=1.2%
[05:02:57] 价格$0.00851902  流动性$209,910(峰值$210,066)  已存档300笔逐笔
[05:03:57] 价格$0.00851902  流动性$209,910(峰值$210,066)  已存档300笔逐笔
