[19:32:33] === LV3tr8C5 高密度崩盘取证监控启动 ===
[19:32:33] 基线: 价格$0.00002711 流动性$20,881
[21:04:01] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[21:05:02] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[21:06:02] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[21:07:03] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[21:08:03] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[21:09:04] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[21:10:04] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[21:11:05] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[21:12:05] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[21:13:05] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[21:14:06] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔  操盘方卖出比例=100.0%
[21:15:07] 价格$0.00002716  流动性$20,952(峰值$20,960)  已存档0笔逐笔
[21:16:07] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:17:07] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:18:08] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:19:08] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔  操盘方卖出比例=100.0%
[21:20:09] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:21:09] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:22:10] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:23:10] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:24:11] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔  操盘方卖出比例=100.0%
[21:25:11] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:26:11] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:27:12] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:28:12] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:29:13] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔  操盘方卖出比例=100.0%
[21:30:13] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:31:14] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:32:14] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:33:14] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔
[21:34:15] 价格$0.00002716  流动性$20,971(峰值$20,971)  已存档0笔逐笔  操盘方卖出比例=100.0%
