[14:54:30] === 5riT6m17 高密度崩盘取证监控启动 ===
[14:54:31] 基线: 价格$0.00063281 流动性$55,866
[17:24:07] 价格$0.00075373  流动性$61,251(峰值$61,858)  已存档18笔逐笔
[17:25:08] 价格$0.00075570  流动性$61,531(峰值$61,858)  已存档16笔逐笔
[17:26:09] 价格$0.00075570  流动性$61,531(峰值$61,858)  已存档20笔逐笔
[17:27:10] 价格$0.00076189  流动性$61,802(峰值$61,858)  已存档19笔逐笔  操盘方卖出比例=85.2%
[17:28:11] 价格$0.00076736  流动性$61,962(峰值$61,962)  已存档16笔逐笔
[17:29:11] 价格$0.00076736  流动性$61,962(峰值$61,962)  已存档17笔逐笔
[17:30:12] 价格$0.00077075  流动性$62,408(峰值$62,408)  已存档18笔逐笔
[17:31:13] 价格$0.00076823  流动性$62,290(峰值$62,408)  已存档17笔逐笔
[17:32:15] 价格$0.00077033  流动性$62,152(峰值$62,408)  已存档20笔逐笔  操盘方卖出比例=85.2%
[17:33:15] 价格$0.00076725  流动性$62,036(峰值$62,408)  已存档18笔逐笔
[17:34:16] 价格$0.00076816  流动性$62,084(峰值$62,408)  已存档15笔逐笔
[17:35:17] 价格$0.00076816  流动性$62,084(峰值$62,408)  已存档18笔逐笔
[17:36:18] 价格$0.00075676  流动性$62,061(峰值$62,408)  已存档17笔逐笔
[17:37:21] 价格$0.00075998  流动性$61,671(峰值$62,408)  已存档19笔逐笔  操盘方卖出比例=85.2%
[17:38:21] 价格$0.00075689  流动性$61,788(峰值$62,408)  已存档19笔逐笔
[17:39:22] 价格$0.00076061  流动性$61,758(峰值$62,408)  已存档16笔逐笔
[17:40:23] 价格$0.00076689  流动性$61,860(峰值$62,408)  已存档18笔逐笔
[17:41:24] 价格$0.00076689  流动性$61,860(峰值$62,408)  已存档17笔逐笔
[17:42:25] 价格$0.00076334  流动性$61,887(峰值$62,408)  已存档18笔逐笔  操盘方卖出比例=85.2%
[17:43:26] 价格$0.00076657  流动性$61,912(峰值$62,408)  已存档17笔逐笔
[17:44:27] 价格$0.00076845  流动性$62,237(峰值$62,408)  已存档19笔逐笔
