[16:12:33] === 4hBWjMa6 高密度崩盘取证监控启动 ===
[16:12:34] 基线: 价格$0.01725050 流动性$297,188
[17:42:16] 价格$0.03263680  流动性$410,867(峰值$410,867)  已存档93笔逐笔
[17:43:17] 价格$0.03261604  流动性$412,413(峰值$412,413)  已存档86笔逐笔
[17:44:18] 价格$0.03289380  流动性$413,089(峰值$413,089)  已存档82笔逐笔  操盘方卖出比例=2.3%
[17:45:19] 价格$0.03299895  流动性$414,886(峰值$414,886)  已存档88笔逐笔
[17:46:20] 价格$0.03299895  流动性$414,886(峰值$414,886)  已存档90笔逐笔
[17:47:21] 价格$0.03353918  流动性$417,207(峰值$417,207)  已存档82笔逐笔
[17:48:22] 价格$0.03353918  流动性$417,207(峰值$417,207)  已存档89笔逐笔
[17:49:25] 价格$0.03401485  流动性$420,542(峰值$420,542)  已存档78笔逐笔  操盘方卖出比例=2.3%
[17:50:26] 价格$0.03426235  流动性$422,100(峰值$422,100)  已存档102笔逐笔
[17:51:26] 价格$0.03426235  流动性$422,100(峰值$422,100)  已存档80笔逐笔
[17:52:27] 价格$0.03451518  流动性$424,061(峰值$424,061)  已存档93笔逐笔
[17:53:28] 价格$0.03478551  流动性$425,096(峰值$425,096)  已存档89笔逐笔
[17:54:29] 价格$0.03504350  流动性$426,476(峰值$426,476)  已存档74笔逐笔  操盘方卖出比例=2.4%
[17:55:30] 价格$0.03525714  流动性$426,718(峰值$426,718)  已存档99笔逐笔
[17:56:31] 价格$0.03556218  流动性$429,106(峰值$429,106)  已存档87笔逐笔
[17:57:31] 价格$0.03577820  流动性$429,419(峰值$429,419)  已存档91笔逐笔
[17:58:32] 价格$0.03597737  流动性$432,006(峰值$432,006)  已存档84笔逐笔
[17:59:33] 价格$0.03626238  流动性$433,724(峰值$433,724)  已存档87笔逐笔  操盘方卖出比例=2.5%
[18:00:34] 价格$0.03626238  流动性$433,724(峰值$433,724)  已存档85笔逐笔
[18:01:35] 价格$0.03677409  流动性$437,080(峰值$437,080)  已存档90笔逐笔
[18:02:36] 价格$0.03686568  流动性$436,346(峰值$437,080)  已存档82笔逐笔
[18:03:36] 价格$0.03686568  流动性$436,346(峰值$437,080)  已存档93笔逐笔
[18:04:37] 价格$0.03735320  流动性$439,786(峰值$439,786)  已存档84笔逐笔  操盘方卖出比例=2.6%
[18:05:39] 价格$0.03761566  流动性$442,102(峰值$442,102)  已存档89笔逐笔
[18:06:40] 价格$0.03761566  流动性$442,102(峰值$442,102)  已存档88笔逐笔
[18:07:41] 价格$0.03801440  流动性$444,715(峰值$444,715)  已存档82笔逐笔
[18:08:42] 价格$0.03801440  流动性$444,715(峰值$444,715)  已存档69笔逐笔
[18:09:42] 价格$0.03860306  流动性$447,727(峰值$447,727)  已存档107笔逐笔  操盘方卖出比例=2.6%
[18:10:44] 价格$0.03879780  流动性$448,649(峰值$448,649)  已存档83笔逐笔
[18:11:44] 价格$0.03883652  流动性$449,451(峰值$449,451)  已存档86笔逐笔
[18:12:45] 价格$0.03904736  流动性$450,258(峰值$450,258)  已存档86笔逐笔
[18:13:46] 价格$0.03929053  流动性$451,898(峰值$451,898)  已存档64笔逐笔
[18:14:47] 价格$0.03956035  流动性$453,015(峰值$453,015)  已存档102笔逐笔  操盘方卖出比例=2.7%
[18:15:48] 价格$0.03964063  流动性$453,810(峰值$453,810)  已存档90笔逐笔
[18:16:49] 价格$0.03964063  流动性$453,810(峰值$453,810)  已存档88笔逐笔
[18:17:50] 价格$0.04145732  流动性$463,631(峰值$463,631)  已存档89笔逐笔
[18:18:50] 价格$0.04143423  流动性$464,958(峰值$464,958)  已存档77笔逐笔
[18:19:51] 价格$0.04184759  流动性$465,979(峰值$465,979)  已存档95笔逐笔  操盘方卖出比例=2.7%
[18:20:52] 价格$0.04202741  流动性$467,470(峰值$467,470)  已存档85笔逐笔
[18:21:53] 价格$0.04224967  流动性$468,208(峰值$468,208)  已存档89笔逐笔
[18:22:54] 价格$0.04249873  流动性$468,831(峰值$468,831)  已存档75笔逐笔
[18:23:55] 价格$0.04249873  流动性$468,831(峰值$468,831)  已存档102笔逐笔
[18:24:56] 价格$0.04298598  流动性$472,562(峰值$472,562)  已存档89笔逐笔  操盘方卖出比例=2.8%
[18:25:56] 价格$0.04324706  流动性$473,733(峰值$473,733)  已存档82笔逐笔
[18:26:58] 价格$0.04337031  流动性$474,847(峰值$474,847)  已存档84笔逐笔
[18:27:58] 价格$0.04333844  流动性$475,753(峰值$475,753)  已存档91笔逐笔
[18:28:59] 价格$0.04392863  流动性$477,864(峰值$477,864)  已存档86笔逐笔
[18:30:02] 价格$0.04411629  流动性$479,248(峰值$479,248)  已存档85笔逐笔  操盘方卖出比例=2.9%
[18:31:02] 价格$0.04428905  流动性$479,542(峰值$479,542)  已存档87笔逐笔
[18:32:03] 价格$0.04456850  流动性$481,112(峰值$481,112)  已存档82笔逐笔
[18:33:04] 价格$0.04477866  流动性$481,054(峰值$481,112)  已存档93笔逐笔
[18:34:05] 价格$0.04483645  流动性$483,519(峰值$483,519)  已存档83笔逐笔
[18:35:06] 价格$0.04526626  流动性$484,783(峰值$484,783)  已存档91笔逐笔  操盘方卖出比例=2.9%
[18:36:07] 价格$0.04526626  流动性$484,783(峰值$484,783)  已存档89笔逐笔
[18:37:07] 价格$0.04559778  流动性$486,595(峰值$486,595)  已存档80笔逐笔
[18:38:08] 价格$0.04588329  流动性$488,456(峰值$488,456)  已存档88笔逐笔
[18:39:09] 价格$0.04623653  流动性$490,168(峰值$490,168)  已存档87笔逐笔
[18:40:10] 价格$0.04623653  流动性$490,168(峰值$490,168)  已存档85笔逐笔  操盘方卖出比例=3.0%
[18:41:11] 价格$0.04654342  流动性$492,484(峰值$492,484)  已存档84笔逐笔
[18:42:12] 价格$0.04705683  流动性$494,072(峰值$494,072)  已存档89笔逐笔
[18:43:12] 价格$0.04725148  流动性$494,152(峰值$494,152)  已存档79笔逐笔
[18:44:13] 价格$0.04725148  流动性$494,152(峰值$494,152)  已存档93笔逐笔
[18:45:15] 价格$0.04758055  流动性$497,661(峰值$497,661)  已存档87笔逐笔  操盘方卖出比例=3.1%
[18:46:16] 价格$0.04783530  流动性$498,639(峰值$498,639)  已存档76笔逐笔
[18:47:16] 价格$0.04803649  流动性$499,516(峰值$499,516)  已存档94笔逐笔
[18:48:17] 价格$0.04835439  流动性$500,651(峰值$500,651)  已存档75笔逐笔
[18:49:18] 价格$0.04838325  流动性$501,991(峰值$501,991)  已存档96笔逐笔
[18:50:21] 价格$0.04886124  流动性$502,072(峰值$502,072)  已存档97笔逐笔  操盘方卖出比例=3.1%
[18:51:22] 价格$0.04920985  流动性$504,693(峰值$504,693)  已存档90笔逐笔
[18:52:23] 价格$0.04920985  流动性$504,693(峰值$504,693)  已存档83笔逐笔
[18:53:24] 价格$0.04959940  流动性$506,294(峰值$506,294)  已存档68笔逐笔
[18:54:24] 价格$0.04986923  流动性$508,483(峰值$508,483)  已存档97笔逐笔
